1001;user1@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-10-23T10:30:00
1002;user2@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-09-15T15:00:00
1003;user3@gmail.com;vende1@gmail.com;QR;Online;2025-08-01T12:00:00
1004;user4@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-07-20T18:45:00
1005;user5@gmail.com;vende1@gmail.com;Efectivo;Presencial;2025-06-10T11:00:00
1006;user6@gmail.com;vende2@gmail.com;QR;Online;2025-05-05T14:20:00
1007;user7@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-04-18T19:00:00
1008;user8@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-03-22T13:10:00
1009;user9@gmail.com;vende1@gmail.com;QR;Online;2025-02-14T17:00:00
1010;user10@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-01-30T20:00:00
1011;user11@gmail.com;vende1@gmail.com;Efectivo;Presencial;2024-12-24T10:00:00
1012;user12@gmail.com;vende2@gmail.com;QR;Online;2024-11-11T11:11:00
1013;user13@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-10-02T16:00:00
1014;user14@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-09-03T14:00:00
1015;user15@gmail.com;vende1@gmail.com;QR;Online;2025-08-04T11:30:00
1016;user16@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-07-05T19:00:00
1017;user17@gmail.com;vende1@gmail.com;Efectivo;Presencial;2025-06-06T12:00:00
1018;user18@gmail.com;vende2@gmail.com;QR;Online;2025-05-07T15:00:00
1019;user19@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-04-08T20:30:00
1020;user20@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-03-09T10:00:00
1021;user21@gmail.com;vende1@gmail.com;QR;Online;2025-02-10T13:00:00
1022;user22@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-01-11T16:45:00
1023;user23@gmail.com;vende1@gmail.com;Efectivo;Presencial;2024-12-12T11:00:00
1024;user24@gmail.com;vende2@gmail.com;QR;Online;2024-11-13T14:00:00
1025;user25@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-10-14T18:00:00
1026;user26@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-09-15T12:30:00
1027;user27@gmail.com;vende1@gmail.com;QR;Online;2025-08-16T17:00:00
1028;user28@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-07-17T19:30:00
1029;user29@gmail.com;vende1@gmail.com;Efectivo;Presencial;2025-06-18T10:00:00
1030;user30@gmail.com;vende2@gmail.com;QR;Online;2025-05-19T13:15:00
1031;user31@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-04-20T15:00:00
1032;user32@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-03-21T11:00:00
1033;user33@gmail.com;vende1@gmail.com;QR;Online;2025-02-22T14:30:00
1034;user34@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-01-23T18:00:00
1035;user35@gmail.com;vende1@gmail.com;Efectivo;Presencial;2024-12-24T12:00:00
1036;user36@gmail.com;vende2@gmail.com;QR;Online;2024-11-25T16:00:00
1037;user37@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-10-26T20:00:00
1038;user38@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-09-27T10:30:00
1039;user39@gmail.com;vende1@gmail.com;QR;Online;2025-08-28T14:00:00
1040;user40@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-07-29T17:00:00
1041;user41@gmail.com;vende1@gmail.com;Efectivo;Presencial;2025-06-30T11:30:00
1042;user42@gmail.com;vende2@gmail.com;QR;Online;2025-05-01T15:00:00
1043;user43@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-04-02T19:00:00
1044;user44@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-03-03T12:00:00
1045;user45@gmail.com;vende1@gmail.com;QR;Online;2025-02-04T16:30:00
1046;user1@gmail.com;vende2@gmail.com;Tarjeta;Online;2025-01-05T21:00:00
1047;user2@gmail.com;vende1@gmail.com;Efectivo;Presencial;2024-12-06T10:00:00
1048;user3@gmail.com;vende2@gmail.com;QR;Online;2024-11-07T14:00:00
1049;user4@gmail.com;vende1@gmail.com;Tarjeta;Online;2025-10-08T18:30:00
1050;user5@gmail.com;vende2@gmail.com;Efectivo;Presencial;2025-09-09T11:00:00
