admin1,admin1@gmail.com,Alberto,Campos,911111001,123456,ADMIN
vende1,vende1@gmail.com,Beatriz,Gonzalez,922222001,123456,VENDEDOR
vende2,vende2@gmail.com,Carlos,Herrera,922222002,123456,VENDEDOR
vende4,vende4@gmail.com,David,Jimenez,922222004,123456,VENDEDOR
vende5,vende5@gmail.com,Elena,Martinez,922222005,123456,VENDEDOR
user1,user1@gmail.com,Andrea,Alvarez,933333001,123456,CLIENTE
user2,user2@gmail.com,Bruno,Benitez,933333002,123456,CLIENTE
user3,user3@gmail.com,Carla,Castillo,933333003,123456,CLIENTE
user4,user4@gmail.com,Daniel,Diaz,933333004,123456,CLIENTE
user5,user5@gmail.com,Esteban,Flores,933333005,123456,CLIENTE
user6,user6@gmail.com,Fernanda,Gomez,933333006,123456,CLIENTE
user7,user7@gmail.com,Gabriel,Gutierrez,933333007,123456,CLIENTE
user8,user8@gmail.com,Hilda,Hernandez,933333008,123456,CLIENTE
user9,user9@gmail.com,Ivan,Iglesias,933333009,123456,CLIENTE
user10,user10@gmail.com,Jimena,Juarez,933333010,123456,CLIENTE
user11,user11@gmail.com,Kevin,Lopez,933333011,123456,CLIENTE
user12,user12@gmail.com,Laura,Luna,933333012,123456,CLIENTE
user13,user13@gmail.com,Marcos,Mendez,933333013,123456,CLIENTE
user14,user14@gmail.com,Nadia,Navarro,933333014,123456,CLIENTE
user15,user15@gmail.com,Oscar,Ortega,933333015,123456,CLIENTE
user16,user16@gmail.com,Patricia,Perez,933333016,123456,CLIENTE
user17,user17@gmail.com,Quintin,Quiroga,933333017,123456,CLIENTE
user18,user18@gmail.com,Raquel,Ramirez,933333018,123456,CLIENTE
user19,user19@gmail.com,Sergio,Sanchez,933333019,123456,CLIENTE
user20,user20@gmail.com,Teresa,Torres,933333020,123456,CLIENTE
user21,user21@gmail.com,Ulises,Uribe,933333021,123456,CLIENTE
user22,user22@gmail.com,Valeria,Vargas,933333022,123456,CLIENTE
user23,user23@gmail.com,Walter,Vega,933333023,123456,CLIENTE
user24,user24@gmail.com,Ximena,Velasco,933333024,123456,CLIENTE
user25,user25@gmail.com,Yago,Yañez,933333025,123456,CLIENTE
user26,user26@gmail.com,Zoe,Zapata,933333026,123456,CLIENTE
user27,user27@gmail.com,Adrian,Acosta,933333027,123456,CLIENTE
user28,user28@gmail.com,Brenda,Blanco,933333028,123456,CLIENTE
user29,user29@gmail.com,Cesar,Cordero,933333029,123456,CLIENTE
user30,user30@gmail.com,Diana,Dominguez,933333030,123456,CLIENTE
user31,user31@gmail.com,Elias,Escobar,933333031,123456,CLIENTE
user32,user32@gmail.com,Fabian,Fernandez,933333032,123456,CLIENTE
user33,user33@gmail.com,Gabriela,Garcia,933333033,123456,CLIENTE
user34,user34@gmail.com,Hector,Hurtado,933333034,123456,CLIENTE
user35,user35@gmail.com,Irene,Ibarra,933333035,123456,CLIENTE
user36,user36@gmail.com,Javier,Jimenez,933333036,123456,CLIENTE
user37,user37@gmail.com,Karla,Krause,933333037,123456,CLIENTE
user38,user38@gmail.com,Leonardo,Lara,933333038,123456,CLIENTE
user39,user39@gmail.com,Mariana,Molina,933333039,123456,CLIENTE
user40,user40@gmail.com,Nicolas,Nuñez,933333040,123456,CLIENTE
user41,user41@gmail.com,Olivia,Ochoa,933333041,123456,CLIENTE
user42,user42@gmail.com,Pablo,Paredes,933333042,123456,CLIENTE
user43,user43@gmail.com,Paula,Peña,933333043,123456,CLIENTE
user44,user44@gmail.com,Ricardo,Rios,933333044,123456,CLIENTE
user45,user45@gmail.com,Sandra,Soto,933333045,123456,CLIENTE
